epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.59498,3.27242,7.22657,2.7835,0,0,0,0,2.29441,7.46378,2.17752,0.00018337,0.00018337,0.00018337
2,3.16318,2.64943,4.57997,2.16869,0,0,0,0,2.69206,11.3302,2.805,0.000375818,0.000375818,0.000375818
3,4.70637,2.3278,3.60526,1.9122,0,0,0,0,5.79034,31.3253,5.79414,0.000560345,0.000560345,0.000560345
4,6.7067,2.20275,3.55072,1.88232,0.00172,0.25,0.00154,0.00027,4.18264,13.2674,4.81727,0.000736951,0.000736951,0.000736951
5,8.21913,2.15134,3.17168,1.78277,0.01984,0.375,0.01872,0.00474,4.00521,9.07978,3.87159,0.000905634,0.000905634,0.000905634
6,9.70961,2.02586,2.84591,1.70116,0.00194,0.41667,0.00252,0.00091,3.49631,790.808,5.61294,0.0010664,0.0010664,0.0010664
7,10.8693,2.12305,2.99581,1.80757,0.03492,0.16667,0.06159,0.03422,2.51345,17.9372,2.4421,0.00121924,0.00121924,0.00121924
8,12.2793,1.95234,2.83012,1.6796,0.03492,0.16667,0.06159,0.03422,2.98807,4.8597,3.69276,0.00136416,0.00136416,0.00136416
9,13.7406,2.02589,2.87239,1.75049,0.4063,0.125,0.15403,0.04692,2.7512,3.83065,2.74933,0.00140295,0.00140295,0.00140295
10,15.2155,1.93672,2.84476,1.70918,0.31853,0.16667,0.21442,0.05671,2.25073,3.6114,2.19852,0.00136994,0.00136994,0.00136994
11,16.6211,2.04195,2.72387,1.77657,0.18786,0.41667,0.30593,0.15605,1.8812,2.30391,1.68628,0.00133693,0.00133693,0.00133693
12,18.0581,2.02967,2.61784,1.73081,0.23595,0.54167,0.3212,0.1273,1.59023,2.43269,1.48025,0.00130393,0.00130393,0.00130393
13,19.2513,1.9118,2.49197,1.66024,0.01933,0.83333,0.12539,0.05673,1.78561,3.63476,1.73484,0.00127092,0.00127092,0.00127092
14,20.4575,1.78313,2.36522,1.59311,0.21446,0.35518,0.32746,0.16791,1.66353,2.34545,1.80479,0.00123791,0.00123791,0.00123791
15,21.9068,1.95951,2.4733,1.78582,0.45229,0.95814,0.48782,0.22488,1.58529,1.82302,1.72542,0.00120491,0.00120491,0.00120491
16,23.8965,1.76262,2.23897,1.62172,0.35835,0.42197,0.59161,0.34948,1.66049,1.62517,1.70615,0.0011719,0.0011719,0.0011719
17,25.4193,1.78237,2.24445,1.62856,0.52044,0.70833,0.66794,0.33837,1.71926,1.57012,1.70609,0.00113889,0.00113889,0.00113889
18,26.622,1.861,2.2603,1.64368,0.41716,0.61661,0.45813,0.21156,2.11248,2.43719,1.91611,0.00110589,0.00110589,0.00110589
19,27.8304,1.857,2.28315,1.67827,0.633,0.45833,0.24647,0.11248,1.66493,2.5262,1.62783,0.00107288,0.00107288,0.00107288
20,29.1453,1.67831,2.21453,1.54002,0.10776,0.75,0.13784,0.07059,1.68935,3.11552,1.62374,0.00103987,0.00103987,0.00103987
21,30.3471,1.66662,2.06889,1.52461,0.01394,0.20833,0.03425,0.01112,3.06389,3.97386,2.84115,0.00100687,0.00100687,0.00100687
22,31.4991,1.6986,2.12138,1.51187,0.01394,0.20833,0.03425,0.01112,4.37119,5.29767,4.93957,0.000973861,0.000973861,0.000973861
