epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.977,1.59623,2.32369,1.73728,0.93909,0.93756,0.969,0.60303,1.18078,1.24063,1.24926,0.000549692,0.000549692,0.000549692
2,206.384,1.11686,0.81994,1.29493,0.63575,0.64189,0.65443,0.38211,1.76188,1.36447,2.11204,0.00074059,0.00074059,0.00074059
3,322.104,0.89799,0.60476,1.13322,0.99957,0.99662,0.995,0.82557,0.74745,0.44691,0.97349,0.000564749,0.000564749,0.000564749
