epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.847,1.59623,2.32369,1.73728,0.93805,0.93038,0.96176,0.60129,1.18078,1.24063,1.24926,0.000549692,0.000549692,0.000549692
2,210.269,1.13214,0.83688,1.30458,0.89413,0.97836,0.9543,0.56632,1.41856,0.9221,1.4935,0.000886497,0.000886497,0.000886497
3,326.514,0.95864,0.64171,1.1848,0.96926,0.96959,0.98252,0.74071,1.08777,0.62945,1.13626,0.00100326,0.00100326,0.00100326
4,452.902,0.87548,0.54753,1.13299,0.99668,1,0.995,0.82208,0.77957,0.45659,0.99107,0.000676802,0.000676802,0.000676802
5,587.42,0.80307,0.4753,1.08498,0.99718,0.99296,0.9937,0.83317,0.77,0.41138,0.97068,0.000346736,0.000346736,0.000346736
