epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.965,1.35682,1.92131,1.53552,0.99918,1,0.995,0.80027,0.89675,0.73587,1.0564,0.000549692,0.000549692,0.000549692
2,199.333,0.82809,0.55948,1.05553,0.99886,1,0.995,0.79212,0.87115,0.65521,1.05367,0.00074059,0.00074059,0.00074059
3,310.355,0.72719,0.46026,0.99479,1,1,0.995,0.76762,1.02076,0.50685,1.08883,0.000564749,0.000564749,0.000564749
