epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8604,1.77981,2.8584,1.75183,0.8477,0.90362,0.94328,0.60962,1.32118,2.45089,1.29053,0.000544981,0.000544981,0.000544981
2,120.293,1.0309,0.82979,1.1188,0.97313,0.97778,0.99283,0.74143,0.99095,1.04753,1.07419,0.000737434,0.000737434,0.000737434
3,173.593,0.88484,0.60414,1.03403,0.99871,1,0.995,0.74669,1.00227,0.54392,1.04102,0.000563147,0.000563147,0.000563147
