epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1972,3.41467,7.21361,3.1841,0,0,0,0,1.63579,5.18694,2.56758,0.00010002,0.00010002,0.00010002
2,20.4565,2.32609,4.15355,2.16734,0,0,0,0,1.83395,4.48952,2.18457,0.000173801,0.000173801,0.000173801
3,28.332,1.63802,2.62593,1.61805,0.41838,0.75,0.64548,0.18482,2.00882,3.54749,1.66616,0.000201374,0.000201374,0.000201374
4,35.9215,1.26015,1.90794,1.30191,0.70007,0.66667,0.68891,0.25578,2.36035,3.65212,1.91719,0.000182737,0.000182737,0.000182737
5,42.85,1.12855,1.49399,1.20258,0.91667,0.58333,0.75649,0.26485,2.11762,2.58955,1.78747,0.00011789,0.00011789,0.00011789
